customerid,tenure,monthlycharges,totalcharges,contract,paymentmethod,paperlessbilling,seniorcitizen,churn
C00471,2,194,5397,Month-to-month,Electronic Check,Yes,0,yes
C00472,52,55,2628,Month-to-month,Credit Card,No,1,no
C00473,45,187,1946,One year,Electronic Check,Yes,0,no
C00474,13,106,5999,Two year,Credit Card,No,1,no
C00475,19,82,7583,Month-to-month,Credit Card,Yes,0,no
C00476,44,24,6003,Two year,Credit Card,Yes,1,no
C00477,14,131,903,Two year,Electronic Check,Yes,1,no
C00478,29,117,3187,Two year,Electronic Check,Yes,1,no
C00479,32,59,4807,Month-to-month,Credit Card,No,1,no
C00480,11,160,4666,Two year,Credit Card,No,0,yes
C00481,69,58,3105,One year,Electronic Check,Yes,0,no
C00482,32,199,5789,Month-to-month,Electronic Check,Yes,0,no
C00483,13,189,6302,Two year,Bank Transfer,No,0,no
C00484,27,147,7103,Two year,Credit Card,Yes,1,no
C00485,50,74,7599,Month-to-month,Credit Card,No,1,no
C00486,66,67,6774,Month-to-month,Bank Transfer,No,1,no
C00487,57,165,5425,Month-to-month,Credit Card,No,0,no
C00488,9,72,2417,Month-to-month,Electronic Check,Yes,1,yes
C00489,66,156,677,Month-to-month,Credit Card,Yes,0,no
C00490,56,52,4061,One year,Electronic Check,Yes,1,no
C00491,44,30,4695,One year,Credit Card,Yes,1,no
C00492,54,123,7652,Month-to-month,Electronic Check,No,1,no
C00493,2,114,5468,One year,Credit Card,Yes,1,no
C00494,68,128,2102,Month-to-month,Electronic Check,Yes,1,no
C00495,22,164,2339,One year,Credit Card,No,0,no
C00496,50,128,6970,Month-to-month,Credit Card,Yes,1,no
C00497,2,49,5917,Two year,Bank Transfer,No,1,no
C00498,46,198,2158,Month-to-month,Bank Transfer,No,0,no
C00499,1,185,5755,Two year,Credit Card,Yes,1,yes
C00500,27,181,4292,Month-to-month,Bank Transfer,No,1,no
